smiles,inchikey,generation,reward,mtor_prob,qed,has_pains
Oc1nc(-c2cccnc2)nc(N2C3COCN2C(C2CC2)C3)n1,OVBLBWKVAQZMCR-UHFFFAOYSA-N,15,1.17578908079617,0.9957601428031921,0.9001446899648886,False
CC12COCN(C(C3CC3)C1)N2c1nc(O)nc(-c2cccnc2)n1,TXCZAYNCBNMZAS-UHFFFAOYSA-N,18,1.174615268816341,0.9943716526031494,0.9012180810659577,False
CC12COCN(C(=C3CC3)C1)N2c1nc(O)nc(-c2cccnc2)n1,ZTSPHYHPTZMSAV-UHFFFAOYSA-N,15,1.174465978263688,0.9969274401664734,0.8876926904860731,False
Oc1nc(-c2cccnc2)nc(N2C3COCN2C(=C2CC2)C3)n1,ZDUMVBQZIDOJOW-UHFFFAOYSA-N,11,1.1743327446212366,0.9966495633125305,0.8884159065435304,False
Cc1ccc(-c2nc(O)nc(N3N4COCC3(C)CC4C3CC3)n2)cn1,UHTXYEZLLXTYPF-UHFFFAOYSA-N,19,1.1726955956539156,0.993862509727478,0.8941654296321874,False
Oc1nc(-c2cccnc2)nc(N2C3COCN2C(=C2CC2)S3)n1,NFTZSVGJSYUMGN-UHFFFAOYSA-N,16,1.1711236895294503,0.9958823919296265,0.8762064879991194,False
Oc1nc(-c2cccnc2)cc(N2C3COCN2C(=C2CC2)C3)n1,XALZMADPYHFSSC-UHFFFAOYSA-N,17,1.1710130639871665,0.9897011518478394,0.9065595606966361,False
Cc1nc(-c2cccnc2)nc(C2CC2N2CCOCC2=N)n1,XWCFUNOANWCWJD-UHFFFAOYSA-N,11,1.1698210366279604,0.985443651676178,0.9218869247589128,False
NC(=O)Oc1nc(-c2cccnc2)nc(N2C3COCN2C(=C2CC2)C3)n1,FIGSLFMNHXSPMF-UHFFFAOYSA-N,13,1.1689050845144775,0.998212456703186,0.8534631390564577,False
Nc1nc(-c2cccnc2)nc(N2C3COCC2C(C2CCOCC2)C3)n1,YHDAHIKCMBXDHF-UHFFFAOYSA-N,5,1.1687785084550675,0.9946152567863464,0.8708162583436053,False
Oc1nc(-c2cccnc2)nc(N2C3COCN2C(=C2CC2)C3F)n1,FRNYWHWQWUWAFX-UHFFFAOYSA-N,17,1.1683585139464177,0.9930210709571838,0.8766872149461689,False
Cc1nc(-c2cccnc2)nc(C2CC2N2C(=N)COCC2C2CC2)n1,VQSXHXWCOWSLOV-UHFFFAOYSA-N,14,1.1679853958995587,0.9861337542533875,0.9092582082308568,False
Cc1nc(-c2cccnc2)nc(C2CC2N2CCOC(F)C2=N)n1,UCQZLJVCFOSMQM-UHFFFAOYSA-N,14,1.1672283300460355,0.9827187061309814,0.9225481195752702,False
Oc1cncc(-c2nc(O)nc(N3C4COCN3C(=C3CC3)C4)n2)c1,CXMYMVGRSKCHPT-UHFFFAOYSA-N,15,1.1655608928221277,0.999030590057373,0.8326515138237734,False
NC(=O)Oc1nc(-c2cccnc2)nc(N2C3COCN2C(C2CC2)C3)n1,BNLUNLNFMFLXRW-UHFFFAOYSA-N,14,1.1655461572023054,0.9976229071617126,0.839616250202963,False
Oc1nc(-c2cnccc2Cl)nc(N2C3COCN2C(=C2CC2)C3)n1,YRUQBRSTHSWHEQ-UHFFFAOYSA-N,18,1.1652842951812583,0.9906696081161499,0.8730734353255426,False
Cc1nc(-c2cccnc2)nc(C2CC2N2C(=N)COCC2C)n1,DKKVHZFSRDLQSL-UHFFFAOYSA-N,13,1.1648506828867653,0.9796567559242249,0.9259696348127022,False
Cc1nc(-c2cccnc2)nc(C2CC2N2CCOCC2N)n1,REPCABTVDKEDKL-UHFFFAOYSA-N,10,1.1646439696402449,0.9861443042755127,0.8924983268236601,False
Oc1ccc(-c2nc(O)nc(N3C4COCN3C(=C3CC3)C4)n2)cn1,XJDDFWYYTGNBKG-UHFFFAOYSA-N,17,1.164487651588302,0.9979573488235474,0.8326515138237734,False
Cc1nc(-c2cccnc2)nc(C2CC2C2C(O)C2N2CCOCC2=N)n1,IYFMPELKPXRBMI-UHFFFAOYSA-N,14,1.163828848096855,0.9975663423538208,0.8313125287151716,False
Cc1nc(-c2cncc(C(=O)O)c2)nc(C2CC2N2CCOCC2=N)n1,WTVDXVYUUPIYNF-UHFFFAOYSA-N,13,1.1637753876094146,0.9965531826019287,0.8361110250374286,False
N=C1COCCN1C1CC1c1nc(Cl)nc(-c2cccnc2)n1,QEISKAVHQSVSOW-UHFFFAOYSA-N,12,1.1635171477018433,0.9790969491004944,0.9221009930067446,False
Cc1nc(-c2ccc(O)nc2)nc(C2CC2N2CCOCC2N)n1,CZHWKASQGGBPPD-UHFFFAOYSA-N,11,1.163049828949143,0.9962611794471741,0.8339432475098445,False
Cc1nc(-c2cncc(N)c2)nc(C2CC2N2CCOCC2N)n1,AYMBIZQDCJLEQI-UHFFFAOYSA-N,11,1.16273007132255,0.9974314570426941,0.8264930713992787,False
NC1OCN2C(C3CC3)CC1N2c1nc(O)nc(-c2cccnc2)n1,VBIHXXDUPWXDMH-UHFFFAOYSA-N,19,1.1625011301841062,0.9979568719863892,0.822721290988585,False
Oc1nc(-c2cnccc2C2CC2)nc(N2C3COCN2C(=C2CC2)C3)n1,LXAVPROFFZLBKQ-UHFFFAOYSA-N,15,1.162494189677038,0.9848959445953369,0.8879912254085054,False
Oc1nc(-c2cccnc2)nc(N2C3COCC2C(=C2CC2)C3)n1,MYOLAWFDSZJPGD-UHFFFAOYSA-N,7,1.1624431106196693,0.9940158128738403,0.8421364887291453,False
Cc1nc(-c2cccnc2)nc(C2C(Cl)C2N2CCOCC2=N)n1,ALDCZNRLUDKIEM-UHFFFAOYSA-N,13,1.1623430916975144,0.9920916557312012,0.8512571798315656,False
Cc1nc(-c2cccnc2)nc(N2C3CONC2C(C2CCOCC2)(C2CC2)C3)n1,BJZWVYSAZBQQDL-UHFFFAOYSA-N,14,1.162226488920786,0.9970173835754395,0.8260455267267336,False
Oc1nc(-c2cccnc2)nc(N2C3COCC2C(C2CC2)C3=C2CC2)n1,MQJBVKPDEOJIPT-UHFFFAOYSA-N,11,1.16185098511963,0.994246780872345,0.8380210212364244,False
Oc1nc(-c2cccnc2)nc(N2C3COC(O)N2C(=C2CC2)C3)n1,CILNPCPZGANTOS-UHFFFAOYSA-N,16,1.1616772080412525,0.9976969361305237,0.8199013595536441,False
Oc1nc(-c2cccnc2)nc(N2N3COCC2(O)CC3=C2CC2)n1,TYQNVZOSGLXWPL-UHFFFAOYSA-N,16,1.161482212511211,0.9974896907806396,0.8199626086528562,False
Oc1nc(-c2cccnc2)nc(N2N3COCC2(F)CC3=C2CC2)n1,DHVIFUPMHQRPGP-UHFFFAOYSA-N,18,1.1613350194448373,0.9960535764694214,0.8264072148770795,False
O=C(O)c1ccc(-c2nc(O)nc(N3C4COCN3C(=C3CC3)C4)n2)cn1,BOATZFDMAQFRMA-UHFFFAOYSA-N,19,1.16070262100468,0.9976603984832764,0.8152111126070182,False
Nc1nc(-c2cnccn2)nc(N2C3COCC2C(C2CCOCC2)C3)n1,LIBWBRUZVOIGCJ-UHFFFAOYSA-N,12,1.1603287979978874,0.9915396571159363,0.8439457044097556,False
COc1nc(-c2cccnc2)nc(N2C3COCN2C(=C2CC2)C3)n1,MIGBIQGOLHIJNW-UHFFFAOYSA-N,16,1.160133409524327,0.9925262928009033,0.8380355836171183,False
Cc1nc(-c2cncc(F)c2)nc(C2CC2N2CCOCC2=N)n1,XTKGHPSOOQCTMR-UHFFFAOYSA-N,15,1.1600167057968824,0.9761152863502502,0.9195070972331606,False
Cc1nc(-c2ccc(C3CCOCC3)nc2)nc(C2CC2N2CCOCC2=N)n1,APVNMWWEOOQFBO-UHFFFAOYSA-N,14,1.1599449226936098,0.9900133609771729,0.8496578085821843,False
Oc1nc(-c2cccnn2)nc(N2C3COCN2C(C2CC2)C3)n1,AGWMPFJPBHMUBW-UHFFFAOYSA-N,17,1.1596649365897187,0.9860917925834656,0.8678657200312655,False
Oc1nc(-c2cccnc2)nc(N2N3COCC2(O)CC3C2CC2)n1,MAUBTUGJEICPDR-UHFFFAOYSA-N,19,1.1595400380865546,0.9945350885391235,0.8250247477371551,False
CC1COCCN1c1nc(-c2cccnc2)nc(C2CC2N2CCOCC2=N)n1,NUCGNKKSEQBWKH-UHFFFAOYSA-N,14,1.1594691474044312,0.9939814209938049,0.8274386320531311,False
Cc1nc(-c2ccc(N)nc2)nc(N2C3COCC2C(=C2CC2)C3)n1,AXDOBOYUVAVKMB-UHFFFAOYSA-N,11,1.1594245217938992,0.9919145107269287,0.8375500553348524,False
Oc1ccc(-c2ncnc(N3C4COCN3C(=C3CC3)O4)n2)cn1,MZXXXVVUZSKKFI-UHFFFAOYSA-N,19,1.1591565787736642,0.9857963919639587,0.866800934048527,False
Cc1nc(-c2cccnc2)nc(C2(C(=O)O)CC2N2CCOCC2=N)n1,QCNPSCRVNYZRAW-UHFFFAOYSA-N,17,1.1589434503093976,0.9950408339500427,0.8195130817967746,False
NC1C(O)C1c1nc(-c2cccnc2)nc(N2C3CCC2COC3)n1,DTSSJHXRDUHRLX-UHFFFAOYSA-N,11,1.1585141145359938,0.9967989921569824,0.8085756118950574,False
Oc1ccc(-c2ncnc(N3C4COCN3C(=C3CC3)C4)n2)cn1,LPIPGIXYLAHMJT-UHFFFAOYSA-N,18,1.15826768352886,0.9805845022201538,0.8884159065435305,False
Oc1nc(-c2cccnc2)nc(N2C3COC(N4CCOCC4)N2C(=C2CC2)C3)n1,LYWASXVFQZJWRV-UHFFFAOYSA-N,17,1.1577183136130373,0.9989388585090637,0.7938972755198679,False
Oc1nc(-c2ccnnc2)nc(N2C3COCC2C(=C2CC2)C3)n1,UGGRBAPELPREGN-UHFFFAOYSA-N,13,1.1576460094127494,0.9935728311538696,0.8203658912943993,False
